	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
61	14.75521	-130.30081	38.89348	294.79636	14.76756	309.85117	15.08179	-129.77017	35.62969	290.70462	9.61959	278.02136	16.54137	-108.74677	35.24884	303.73663	8.90422	358.32736	14.58378	-157.71220	41.76437	299.23859	18.54214	141.10323
62	13.34423	-153.13882	41.70295	288.05255	17.39138	239.02754	13.65884	-151.35826	38.37074	284.17810	12.06947	208.34821	15.30486	-131.09607	38.11156	303.43436	12.45115	313.42691	12.78632	-171.67500	44.95365	281.46439	19.09538	57.59412
63	11.73320	-172.57932	44.54072	275.48645	19.09613	155.09248	12.05947	-169.35522	41.14663	271.55585	13.55186	125.22511	13.85405	-153.77063	41.03537	295.90228	15.23507	246.19025	10.90303	-180.48814	48.05751	257.93121	18.67090	-22.35387
64	9.96661	-186.73532	47.35259	257.54114	19.81981	67.88538	10.33037	-181.88979	43.92274	253.83685	14.00910	40.80238	12.20253	-174.38084	43.99311	281.25024	17.05264	165.33186	8.98353	-184.60139	50.98240	231.04568	17.43647	-91.64176
65	8.10089	-194.86760	50.06758	235.15637	19.62275	-13.55546	8.52822	-187.81396	46.63943	232.20268	13.54764	-33.46191	10.38245	-190.58363	46.92844	260.29187	17.83975	80.80527	7.06250	-185.25745	53.63604	202.42203	15.62465	-146.07024
66	6.19148	-197.44655	52.60747	209.44080	18.65956	-82.85046	6.71286	-187.29245	49.21722	207.63638	12.40133	-89.54102	8.44158	-200.82172	49.75851	234.41093	17.67288	1.91269	5.15664	-183.74969	55.93896	172.69466	13.46821	-184.63921
67	4.28205	-195.70627	54.89689	181.41887	17.13254	-136.78957	4.93359	-181.90436	51.56944	180.85336	10.85846	-124.84304	6.43517	-204.73466	52.38998	205.18893	16.73835	-64.87173	3.27296	-180.58907	57.83197	141.83383	11.14932	-208.42560
68	2.40340	-190.99065	56.87183	151.92464	15.24687	-174.66568	3.21869	-173.86778	53.61731	152.38316	9.17572	-142.32886	4.41709	-203.01219	54.73510	173.91528	15.26802	-117.05340	1.42397	-175.54512	59.27658	109.57588	8.78712	-219.29256
69	0.57814	-184.40741	58.48523	121.64407	13.17913	-197.41364	1.57746	-165.11319	55.30105	122.66500	7.51625	-148.42056	2.43312	-196.92313	56.72194	141.37975	13.47202	-155.21080	-0.36884	-168.62569	60.25251	75.79717	6.45590	-219.46428
70	-1.17775	-176.77802	59.70861	91.07984	11.06192	-206.85713	0.00777	-156.94371	56.58363	92.16402	5.93594	-149.86333	0.51882	-187.92776	58.29696	107.93238	11.50333	-181.09921	-2.08560	-160.51962	60.75646	40.68089	4.20650	-211.71973
71	-2.85470	-168.64113	60.53023	60.44668	8.98730	-205.14774	-1.49849	-150.01569	57.44921	61.36487	4.41372	-150.90068	-1.30250	-177.50040	59.42409	73.69110	9.45771	-196.52457	-3.71578	-152.13806	60.80049	4.69582	2.07635	-198.98051
